ticker,company,category,fy2_pe,pe_10yr_avg,fy2_ev_ebitda,ev_ebitda_10yr_avg,eps_cagr_25_27,source_note
CPRT,Copart,Automotive and heavy equipment remarketers,21.8,27.1,15.2,16.5,10,JPM F1Q26 note Table 3 priced 21-Nov-2025 at 41 usd. CPRT has since fallen to about 29.6 usd so the current multiple is materially lower.
RBA,RB Global,Automotive and heavy equipment remarketers,22.2,32.9,14.8,19.3,15,JPM F1Q26 note Table 3 priced 21-Nov-2025
MCO,Moodys,Global credit rating agencies,29.4,25.4,21.0,17.1,12,JPM F1Q26 note Table 3 priced 21-Nov-2025
SPGI,S&P Global,Global credit rating agencies,24.8,24.5,19.4,16.7,12,JPM F1Q26 note Table 3 priced 21-Nov-2025
V,Visa,Payments processing,22.7,25.6,18.6,19.5,13,JPM F1Q26 note Table 3 priced 21-Nov-2025
MA,Mastercard,Payments processing,28.3,28.4,21.4,20.2,16,JPM F1Q26 note Table 3 priced 21-Nov-2025
AXP,American Express,Payments processing,20.2,23.3,16.2,11.8,13,JPM F1Q26 note Table 3 priced 21-Nov-2025
EFX,Equifax,Consumer credit reporting agencies,24.2,23.3,14.3,14.5,18,JPM F1Q26 note Table 3 priced 21-Nov-2025
EXPN,Experian,Consumer credit reporting agencies,22.1,24.5,12.3,11.0,13,JPM F1Q26 note Table 3 priced 21-Nov-2025
TRU,TransUnion,Consumer credit reporting agencies,17.4,22.0,11.5,14.3,14,JPM F1Q26 note Table 3 priced 21-Nov-2025
AMT,American Tower,Cellular tower and wireless infrastructure REITs,25.9,40.5,17.1,20.8,18,JPM F1Q26 note Table 3 priced 21-Nov-2025
CCI,Crown Castle,Cellular tower and wireless infrastructure REITs,28.2,54.4,21.5,20.7,88,JPM F1Q26 note Table 3 priced 21-Nov-2025
