calendar_quarter,period_end,total_loss_frequency,source
1Q19,2019-03-31,19.2,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q19,2019-06-30,18.5,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q19,2019-09-30,18.7,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
4Q19,2019-12-31,20.4,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
1Q20,2020-03-31,20.0,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q20,2020-06-30,19.5,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q20,2020-09-30,21.0,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
4Q20,2020-12-31,21.7,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
1Q21,2021-03-31,20.7,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q21,2021-06-30,19.7,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q21,2021-09-30,19.3,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
4Q21,2021-12-31,19.2,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
1Q22,2022-03-31,18.2,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q22,2022-06-30,17.1,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q22,2022-09-30,17.5,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
4Q22,2022-12-31,20.1,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
1Q23,2023-03-31,19.6,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q23,2023-06-30,19.0,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q23,2023-09-30,19.9,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
4Q23,2023-12-31,21.5,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
1Q24,2024-03-31,21.8,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q24,2024-06-30,21.5,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q24,2024-09-30,21.8,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
4Q24,2024-12-31,23.8,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
1Q25,2025-03-31,22.8,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q25,2025-06-30,22.2,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
3Q25,2025-09-30,22.6,JPM F1Q26 note Figure 4 citing CCC Intelligent Solutions
2Q26,2026-06-30,23.3,Copart FY26Q4 earnings call 10-Sep-2026 citing CCC; described as highest second-quarter level on record
