ticker,metric,concept,period_type,start,end,value,unit,fy,fp,form,frame
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2020-12-31,104138000.0,USD,2021.0,FY,10-K,CY2020Q4I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2021-03-31,188524000.0,USD,2021.0,Q1,10-Q,CY2021Q1I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2021-06-30,234174000.0,USD,2021.0,Q2,10-Q,CY2021Q2I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2021-09-30,215645000.0,USD,2021.0,Q3,10-Q,CY2021Q3I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2021-12-31,222753000.0,USD,2022.0,FY,10-K,CY2021Q4I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2022-03-31,228133000.0,USD,2022.0,Q1,10-Q,CY2022Q1I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2022-06-30,225856000.0,USD,2022.0,Q2,10-Q,CY2022Q2I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2022-09-30,153405000.0,USD,2022.0,Q3,10-Q,CY2022Q3I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2022-12-31,168732000.0,USD,2023.0,FY,10-K,CY2022Q4I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2023-03-31,189167000.0,USD,2023.0,Q1,10-Q,CY2023Q1I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2023-06-30,144036000.0,USD,2023.0,Q2,10-Q,CY2023Q2I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2023-09-30,168796000.0,USD,2023.0,Q3,10-Q,CY2023Q3I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2023-12-31,164009000.0,USD,2024.0,FY,10-K,CY2023Q4I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2024-03-31,219305000.0,USD,2024.0,Q1,10-Q,CY2024Q1I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2024-06-30,208560000.0,USD,2024.0,Q2,10-Q,CY2024Q2I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2024-09-30,203728000.0,USD,2024.0,Q3,10-Q,CY2024Q3I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2024-12-31,168770000.0,USD,2025.0,FY,10-K,CY2024Q4I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2025-03-31,243645000.0,USD,2025.0,Q1,10-Q,CY2025Q1I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2025-06-30,209880000.0,USD,2025.0,Q2,10-Q,CY2025Q2I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2025-09-30,218949000.0,USD,2025.0,Q3,10-Q,CY2025Q3I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2025-12-31,197225000.0,USD,2026.0,Q2,10-Q,CY2025Q4I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2026-03-31,268867000.0,USD,2026.0,Q1,10-Q,CY2026Q1I
ACVA,accounts_receivable,AccountsReceivableNetCurrent,INSTANT,,2026-06-30,216092000.0,USD,2026.0,Q2,10-Q,CY2026Q2I
ACVA,cash,CashAndCashEquivalentsAtCarryingValue,INSTANT,,2018-12-31,117890000.0,USD,2021.0,FY,10-K,CY2018Q4I
ACVA,cash,CashAndCashEquivalentsAtCarryingValue,INSTANT,,2019-12-31,182275000.0,USD,2021.0,FY,10-K,CY2019Q4I
ACVA,cash,CashAndCashEquivalentsAtCarryingValue,INSTANT,,2020-03-31,148784000.0,USD,2021.0,Q1,10-Q,CY2020Q1I
ACVA,cash,CashAndCashEquivalentsAtCarryingValue,INSTANT,,2020-06-30,166847000.0,USD,2021.0,Q2,10-Q,CY2020Q2I
