state,county,events,hail_events,flood_events,wind_events,damage_usd
Colorado,El Paso,840,756,78,6,341980000.0
South Dakota,Pennington,667,631,32,4,4450000.0
Texas,Tarrant,633,509,104,20,1430277000.0
Arizona,Maricopa,616,98,505,13,29340000.0
Oklahoma,Oklahoma,539,395,115,29,56532000.0
Texas,Bexar,492,294,192,6,1383820000.0
Colorado,Weld,484,431,19,34,5570500.0
Pennsylvania,Allegheny,484,143,329,12,16919600.0
California,San Bernardino,466,16,448,2,38214200.0
Oklahoma,Tulsa,460,308,126,26,68364000.0
Oklahoma,Cleveland,459,340,81,38,53521000.0
Kansas,Sedgwick,451,325,124,2,5632100.0
Wyoming,Laramie,447,388,39,20,1461000.0
Illinois,Cook,442,182,227,33,1048210000.0
Texas,Denton,429,375,44,10,371585000.0
Arizona,Mohave,427,20,404,3,3217000.0
Colorado,Yuma,403,359,13,31,1316000.0
South Carolina,Charleston,403,57,299,47,474500.0
Virginia,Fairfax,396,40,350,6,335000.0
Texas,Dallas,368,221,135,12,3318962000.0
Maryland,Montgomery,358,55,296,7,7702600.0
Texas,Collin,354,313,32,9,2183201500.0
Missouri,Douglas,335,96,226,13,16873000.0
Missouri,Greene,334,158,159,17,329164000.0
California,Kern,328,7,319,2,304000.0
Maryland,Baltimore,316,42,266,8,26135000.0
Wisconsin,Dane,306,266,27,13,43100000.0
North Carolina,Wake,305,125,169,11,186394500.0
Colorado,Kit Carson,303,246,23,34,225510.0
South Dakota,Meade,300,280,17,3,3117000.0
Arizona,Yavapai,287,38,244,5,9500000.0
Minnesota,St. Louis,287,210,70,7,3321000.0
South Dakota,Minnehaha,286,118,160,8,11257000.0
Texas,Harris,281,146,100,35,10248198100.0
Louisiana,Caddo,280,110,139,31,56973000.0
Texas,Tom Green,279,193,81,5,7700000.0
California,Fresno,278,2,271,5,1141100.0
Colorado,Washington,276,185,3,88,80000.0
Puerto Rico,San Juan,275,0,275,0,433200.0
Oklahoma,Comanche,272,208,55,9,660000.0
Alabama,Madison,272,142,107,23,0.0
Texas,Williamson,271,212,47,12,325981000.0
California,San Diego,261,10,250,1,37202550.0
Pennsylvania,Westmoreland,260,70,173,17,5809000.0
