state,events,damage_usd
Texas,19730,66200797850.0
Kansas,9875,160705330.0
Missouri,8492,3266028950.0
Oklahoma,8337,613990600.0
Nebraska,6791,898539850.0
Iowa,6380,834869900.0
Illinois,6309,1422759000.0
South Dakota,6290,229166200.0
Virginia,5834,433436240.0
Colorado,5597,2936748470.0
Minnesota,5438,149115600.0
Arkansas,4940,798309800.0
California,4909,1914127240.0
Ohio,4828,834307650.0
Kentucky,4635,137586160.0
North Carolina,4529,5737733510.0
Pennsylvania,4361,517123810.0
Mississippi,4318,873371600.0
Florida,4263,41533026250.0
Wisconsin,4125,669105210.0
Louisiana,3903,37306641500.0
Georgia,3860,3674169250.0
Tennessee,3657,2328276110.0
Alabama,3619,398289750.0
New York,3398,763853000.0
Indiana,3278,259389500.0
North Dakota,2867,165414500.0
West Virginia,2857,244741460.0
South Carolina,2812,727852610.0
Arizona,2591,167026800.0
Maryland,2515,151951600.0
New Mexico,2260,583447700.0
Montana,2220,53335500.0
Puerto Rico,1977,19045636160.0
Wyoming,1936,39165080.0
New Jersey,1924,232347110.0
Michigan,1395,1186268500.0
Massachusetts,1288,49054400.0
Maine,753,203451500.0
Utah,722,117553000.0
New Hampshire,719,87317100.0
Connecticut,574,65883310.0
Idaho,532,124378850.0
Oregon,405,61408600.0
Nevada,390,123880100.0
Washington,378,396959260.0
Vermont,365,194762000.0
Delaware,319,3740000.0
Hawaii,266,1188391000.0
Alaska,260,83427740.0
District Of Columbia,186,800000.0
Rhode Island,184,4548900.0
American Samoa,111,58075000.0
Guam,59,6540819000.0
Virgin Islands,39,526000.0
