quarter_end,forecast_origin,last_training_actual,model,n_train,selected_lag,actual,prediction,error
2022-06-30,2022-03-31,2021-12-31,Spread + trend,12,3,17.1,15.078759464568307,-2.0212405354316942
2022-06-30,2022-03-31,2021-12-31,Trend only,12,0,17.1,20.410362056600498,3.3103620566004963
2022-06-30,2022-03-31,2021-12-31,Last available actual,12,0,17.1,19.2,2.099999999999998
2022-09-30,2022-06-30,2022-03-31,Spread + trend,13,2,17.5,18.510194349437192,1.0101943494371923
2022-09-30,2022-06-30,2022-03-31,Trend only,13,0,17.5,19.76383828705251,2.2638382870525113
2022-09-30,2022-06-30,2022-03-31,Last available actual,13,0,17.5,18.2,0.6999999999999993
2022-12-31,2022-09-30,2022-06-30,Spread + trend,14,3,20.1,17.24658588112715,-2.853414118872852
2022-12-31,2022-09-30,2022-06-30,Trend only,14,0,20.1,18.93774913170912,-1.162250868290883
2022-12-31,2022-09-30,2022-06-30,Last available actual,14,0,20.1,17.1,-3.0
2023-03-31,2022-12-31,2022-09-30,Spread + trend,15,3,19.6,20.321319185308553,0.7213191853085519
2023-03-31,2022-12-31,2022-09-30,Trend only,15,0,19.6,18.432117705423394,-1.1678822945766072
2023-03-31,2022-12-31,2022-09-30,Last available actual,15,0,19.6,17.5,-2.1000000000000014
2023-06-30,2023-03-31,2022-12-31,Spread + trend,16,2,19.0,23.435419257224932,4.4354192572249325
2023-06-30,2023-03-31,2022-12-31,Trend only,16,0,19.0,18.752278395748846,-0.2477216042511543
2023-06-30,2023-03-31,2022-12-31,Last available actual,16,0,19.0,20.1,1.1000000000000014
2023-09-30,2023-06-30,2023-03-31,Spread + trend,17,2,19.9,22.754807624454397,2.8548076244543985
2023-09-30,2023-06-30,2023-03-31,Trend only,17,0,19.9,18.8787072798186,-1.0212927201813997
2023-09-30,2023-06-30,2023-03-31,Last available actual,17,0,19.9,19.6,-0.29999999999999716
2023-12-31,2023-09-30,2023-06-30,Spread + trend,18,2,21.5,20.595099152077776,-0.9049008479222245
2023-12-31,2023-09-30,2023-06-30,Trend only,18,0,21.5,18.838240759229727,-2.661759240770273
2023-12-31,2023-09-30,2023-06-30,Last available actual,18,0,21.5,19.0,-2.5
2024-03-31,2023-12-31,2023-09-30,Spread + trend,19,2,21.8,20.13418569740593,-1.6658143025940717
2024-03-31,2023-12-31,2023-09-30,Trend only,19,0,21.8,19.01177134960767,-2.7882286503923304
2024-03-31,2023-12-31,2023-09-30,Last available actual,19,0,21.8,19.9,-1.9000000000000021
2024-06-30,2024-03-31,2023-12-31,Spread + trend,20,3,21.5,20.875730853201087,-0.6242691467989125
2024-06-30,2024-03-31,2023-12-31,Trend only,20,0,21.5,19.49835469524855,-2.001645304751449
2024-06-30,2024-03-31,2023-12-31,Last available actual,20,0,21.5,21.5,0.0
2024-09-30,2024-06-30,2024-03-31,Spread + trend,21,3,21.8,20.838391885950873,-0.9616081140491275
2024-09-30,2024-06-30,2024-03-31,Trend only,21,0,21.8,19.962474706334504,-1.8375252936654967
2024-09-30,2024-06-30,2024-03-31,Last available actual,21,0,21.8,21.8,0.0
2024-12-31,2024-09-30,2024-06-30,Spread + trend,22,3,23.8,20.76989373001839,-3.030106269981612
2024-12-31,2024-09-30,2024-06-30,Trend only,22,0,23.8,20.292000623297227,-3.5079993767027737
2024-12-31,2024-09-30,2024-06-30,Last available actual,22,0,23.8,21.5,-2.3000000000000007
2025-03-31,2024-12-31,2024-09-30,Spread + trend,23,3,22.8,21.324544100859082,-1.4754558991409183
2025-03-31,2024-12-31,2024-09-30,Trend only,23,0,22.8,20.623166685292098,-2.1768333147079026
2025-03-31,2024-12-31,2024-09-30,Last available actual,23,0,22.8,21.8,-1.0
2025-06-30,2025-03-31,2024-12-31,Spread + trend,24,3,22.2,21.758450030119214,-0.44154996988078565
2025-06-30,2025-03-31,2024-12-31,Trend only,24,0,22.2,21.25672003126568,-0.9432799687343199
2025-06-30,2025-03-31,2024-12-31,Last available actual,24,0,22.2,23.8,1.6000000000000014
2025-09-30,2025-06-30,2025-03-31,Spread + trend,25,3,22.6,21.87312380914013,-0.7268761908598727
2025-09-30,2025-06-30,2025-03-31,Trend only,25,0,22.6,21.628450433367945,-0.9715495666320564
2025-09-30,2025-06-30,2025-03-31,Last available actual,25,0,22.6,22.8,0.1999999999999993
2026-06-30,2026-03-31,2025-09-30,Spread + trend,27,3,23.3,21.725199838457147,-1.5748001615428535
2026-06-30,2026-03-31,2025-09-30,Trend only,27,0,23.3,22.219126292266104,-1.0808737077338968
2026-06-30,2026-03-31,2025-09-30,Last available actual,27,0,23.3,22.6,-0.6999999999999993
