quarter_end,calendar_quarter,repair_cpi_yoy,used_cpi_yoy,scissors,scissors_lagged,total_loss_frequency,tlf_fitted,tlf_nowcast_low,tlf_nowcast_high,is_nowcast
2018-03-31,,1.44,-0.31,1.75,,,,,,False
2018-06-30,,1.8,-0.13,1.93,,,,,,False
2018-09-30,,2.28,0.94,1.33,,,,,,False
2018-12-31,,2.36,0.97,1.39,1.75,,18.99,,,False
2019-03-31,1Q19,3.05,2.48,0.58,1.93,19.2,19.1,,,False
2019-06-30,2Q19,3.57,0.57,3.01,1.33,18.5,19.16,,,False
2019-09-30,3Q19,3.51,0.7,2.81,1.39,18.7,19.27,,,False
2019-12-31,4Q19,3.33,0.28,3.04,0.58,20.4,19.31,,,False
2020-03-31,1Q20,3.36,-0.94,4.3,3.01,20.0,19.56,,,False
2020-06-30,2Q20,3.41,-1.38,4.79,2.81,19.5,19.65,,,False
2020-09-30,3Q20,3.32,4.4,-1.08,3.04,21.0,19.76,,,False
2020-12-31,4Q20,3.41,10.88,-7.47,4.3,21.7,19.94,,,False
2021-03-31,1Q21,3.36,9.55,-6.18,4.79,20.7,20.07,,,False
2021-06-30,2Q21,3.15,31.98,-28.82,-1.08,19.7,19.81,,,False
2021-09-30,3Q21,4.09,32.65,-28.57,-7.47,19.3,19.51,,,False
2021-12-31,4Q21,5.01,31.73,-26.72,-6.18,19.2,19.69,,,False
2022-03-31,1Q22,5.3,38.99,-33.7,-28.82,18.2,18.39,,,False
2022-06-30,2Q22,6.4,15.3,-8.89,-28.57,17.1,18.5,,,False
2022-09-30,3Q22,9.41,7.18,2.23,-26.72,17.5,18.72,,,False
2022-12-31,4Q22,11.69,-3.39,15.08,-33.7,20.1,18.38,,,False
2023-03-31,1Q23,13.35,-12.02,25.37,-8.89,19.6,20.02,,,False
2023-06-30,2Q23,13.16,-5.39,18.55,2.23,19.0,20.8,,,False
2023-09-30,3Q23,11.59,-6.82,18.41,15.08,19.9,21.7,,,False
2023-12-31,4Q23,8.36,-4.01,12.37,25.37,21.5,22.43,,,False
2024-03-31,1Q24,7.14,-2.06,9.2,18.55,21.8,22.11,,,False
2024-06-30,2Q24,6.94,-8.21,15.16,18.41,21.5,22.2,,,False
2024-09-30,3Q24,4.53,-8.28,12.8,12.37,21.8,21.93,,,False
2024-12-31,4Q24,5.9,-4.86,10.76,9.2,23.8,21.83,,,False
2025-03-31,1Q25,5.5,0.75,4.76,15.16,22.8,22.3,,,False
2025-06-30,2Q25,5.28,2.0,3.28,12.8,22.2,22.25,,,False
2025-09-30,3Q25,7.57,5.33,2.24,10.76,22.6,22.22,,,False
2025-12-31,,6.16,2.59,3.57,4.76,,21.95,,,False
2026-03-31,,5.54,-2.78,8.32,3.28,,21.96,,,False
2026-06-30,2Q26,6.1,-2.15,8.25,2.24,23.3,21.99,,,False
2026-09-30,,5.93,-2.09,8.02,3.57,,22.17,20.1,24.24,True
